housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
11,3874,565,1672,546,6.1481,274600
11,5799,1527,713,262,2.5147,84700
15,8948,1985,1316,514,2.7375,90800
6,3123,495,1513,480,5.4288,167800
5,5673,855,2592,797,5.4155,199200
20,1066,219,536,173,3.1607,119300
16,2502,532,1211,494,3.2516,202100
26,3606,792,1683,608,2.6587,57400
5,5806,1030,569,219,4.0132,163100
17,4234,770,2191,725,3.6445,197600
13,4760,938,309,132,5.4618,147800
11,658,131,376,120,2.3977,58000
18,521,118,174,74,2.7788,91100
13,2604,443,978,417,2.933,170700
17,9044,1689,5030,1596,3.6348,164500
17,401,68,251,69,4.6518,170200
17,5799,921,2630,843,5.0524,285400
19,1747,291,848,290,4.875,187200
35,4448,906,2736,843,2.218,73400
32,3141,812,2589,721,1.4556,54600
5,4116,761,1714,717,2.5612,130800
12,1153,265,446,195,3.038,128100
15,2053,321,993,309,5.5164,248900
13,3268,491,1431,503,5.7652,259900
11,1089,198,230,90,4.9643,176000
13,4137,796,573,218,4.6394,226500
38,898,259,106,52,1.6875,225000
52,3419,777,710,265,3.9028,128600
37,1495,429,865,342,1.2188,55000
20,3111,623,1000,508,1.5982,140000
11,7217,1583,4197,1502,2.8827,166700
16,3204,541,1818,529,5.2596,171500
9,3049,471,1527,515,5.0733,196600
29,4549,916,2494,912,2.0976,72600
10,2653,621,1967,598,2.6643,81000
2,6900,1238,1950,980,3.0417,146300
23,2719,538,930,485,2.0154,81700
14,1016,219,443,169,2.8071,137500
14,2816,501,1448,452,5.0278,210900
16,1743,333,652,322,2.8906,158300
15,3560,593,1757,574,5.1185,185300
9,2652,393,1355,362,6.2578,293100
10,337,102,108,50,0.4999,55000
20,3481,840,1694,587,1.4,77700
16,3018,523,556,244,3.5288,189700
30,3915,672,1820,643,3.6339,98600
34,3183,738,1820,647,2.2321,71800
14,2281,426,894,430,2.3712,127900
15,652,149,248,97,2.1071,93800
11,4132,773,2012,703,3.1906,234500
11,3213,634,1975,579,3.475,167200
19,3090,552,1621,520,4.0806,189200
18,4215,810,2104,773,4.0873,146900
18,3612,737,1864,713,2.7069,153800
21,3770,491,1410,446,6.7685,294700
8,3600,492,1421,482,6.2609,307100
18,553,100,215,82,5.5,193800
13,10886,2127,4266,1955,2.3169,123400
19,6807,1164,2703,1055,3.1591,189700
14,3048,597,1690,576,4.3818,147100
15,3153,628,1633,527,3.6898,131000
10,3699,838,2310,759,2.5365,139500
21,4152,703,2255,697,4.5096,159500
16,5203,898,2515,862,4.105,174400
14,1978,424,1085,387,3.8073,170100
22,4331,637,1952,654,5.4834,232000
32,1943,287,1081,292,5.6846,208800
15,4058,511,1580,473,7.5,316400
8,4630,624,2048,575,6.4745,300300
18,397,89,239,80,2.8125,143800
23,1378,269,767,266,4.0625,145000
16,4675,834,2188,817,4.6674,178000
34,1765,284,772,282,5.0118,165300
17,2492,494,1278,439,2.8875,155700
16,2784,468,1458,465,4.0048,184600
33,1518,268,857,272,3.5586,160400
21,4192,752,2101,710,4.4306,159100
9,1859,307,947,304,5.9202,181300
13,7804,1594,3297,1469,2.0549,95600
14,6027,1148,3136,1036,2.964,121500
15,3757,666,1693,654,3.6806,112800
16,3490,545,1628,535,4.8836,239900
17,3722,670,1561,604,3.6027,211900
5,4116,990,2770,905,3.1142,150000
15,3273,895,1872,842,2.5388,119000
21,1283,278,684,289,2.3203,163500
26,4129,714,1820,718,4.2586,171000
18,2447,466,1573,472,2.6429,125400
23,5759,1258,3108,1202,3.0927,140600
19,3354,699,1948,682,3.0192,142300
20,6541,1401,2631,980,2.1339,78500
27,12342,2630,1300,566,1.998,153500
14,7240,1410,2708,1240,2.4145,137600
19,2901,445,1414,475,4.6406,118900
17,5160,851,2344,781,3.7175,120000
24,2541,381,1078,372,5.2542,227800
24,2824,441,1480,471,5.2614,177200
32,1607,253,778,262,4.5278,166300
38,1701,317,872,304,3.7831,147800
35,1737,285,826,294,3.2411,159200
28,3042,729,1964,703,2.4141,137500
21,7906,2292,4868,2117,1.8937,109800
17,13559,2656,6990,2533,3.434,193200
4,14934,2479,6945,2418,5.1221,229700
14,5320,974,1947,843,3.1393,116300
8,10997,2205,5060,1949,2.1979,95300
24,3409,804,1939,739,1.7303,74000
10,6890,1702,3141,1451,1.7079,95900
23,4676,1096,2770,1057,1.7847,109500
19,2238,573,1190,507,2.0714,85800
20,2233,431,1024,399,2.4554,89400
18,1996,405,1270,400,2.7083,91200
21,4587,810,2233,765,3.2371,94500
11,1183,178,543,147,4.4792,173900
16,2921,639,1838,540,2.2393,117000
18,2087,353,992,329,4.5,222600
31,1307,245,752,231,3.4286,129400
14,12517,2506,6389,2333,3.3081,168700
18,3038,592,1904,595,3.8024,144900
12,5535,1434,3112,1262,2.5949,108300
31,1277,293,698,237,3.1106,147700
15,2619,599,1513,537,2.543,100000
19,11391,3093,7178,2905,2.0326,123200
33,2432,443,1147,427,3.3906,138100
20,3425,448,1489,443,6.2552,296400
25,3308,421,1201,414,6.3191,303400
13,5543,857,2074,737,4.9528,266200
17,1635,272,960,279,5.2671,157100
20,2355,467,1198,428,3.9934,88500
30,1211,289,611,230,1.6667,44700
22,1999,497,1304,479,1.4063,81900
21,2990,691,2108,660,2.0135,83000
35,3269,757,2328,705,2.5898,76300
19,3649,755,1717,696,2.2115,87600
20,4735,973,2306,904,3.069,87000
16,3047,495,1507,499,5.3008,186500
17,4713,740,2531,723,4.8286,158500
14,3064,496,1681,503,4.4347,160300
11,9724,1796,5247,1777,4.1716,166100
8,2378,638,1410,623,2.9097,152500
25,3421,803,1681,742,3.369,134400
19,4574,1152,3045,1057,2.065,124100
16,3920,1094,2612,1023,1.3291,120800
35,1081,266,691,259,2.6324,133700
19,3008,693,2341,689,2.6087,123800
17,5236,1325,3308,1233,2.3221,138800
26,2807,630,1785,580,2.1638,132800
12,5876,1222,2992,1151,2.4322,112100
29,3197,632,1722,603,3.0432,91200
29,2793,722,1583,626,1.424,73200
24,2680,606,1728,527,2.535,74800
31,2712,628,1519,629,1.942,86200
20,3674,792,1498,758,2.2161,76900
10,5149,851,2177,783,6.7957,287500
23,149,32,101,34,2.6458,112500
15,3927,1018,2204,977,2.4367,111400
32,1255,338,782,302,2.6635,113600
19,4108,1101,2971,1006,1.9893,112500
37,1255,238,671,278,3.7019,138600
35,1113,236,681,246,2.9784,136400
26,8902,1413,3941,1387,4.7943,226900
33,3071,466,1348,513,6.1768,228900
26,2460,313,838,299,5.9878,270700
28,3519,583,1720,590,4.7973,186900
14,7410,1344,3597,1274,4.2192,176100
4,16450,2833,7985,2683,5.6631,233400
23,1262,294,5176,275,2.5625,153300
16,2098,449,342,143,4.0333,133900
21,739,125,199,82,4.8958,117500
6,2290,312,957,274,7.2708,316700
27,3459,640,1760,654,3.4545,89800
40,2277,498,1391,453,1.9472,73200
33,376,83,267,88,2.1581,68300
15,2228,472,653,350,2.683,139300
12,5829,1309,2711,1118,1.9707,107900
25,4952,1062,1589,1024,1.8446,85700
12,7320,1279,4048,1249,4.3952,151700
19,2121,341,1236,353,4.7717,153200
16,7718,1423,4383,1394,4.0693,146400
12,3570,713,3321,666,4.0882,134500
28,5721,1029,2672,1054,3.963,164400
32,3756,662,1611,598,3.8667,189700
29,3558,447,1097,445,8.093,379600
25,4137,662,1905,630,4.375,214000
18,1519,369,802,347,2.9886,170800
24,977,147,454,169,4.9286,173700
16,3361,537,1754,578,5.1098,162300
16,952,143,530,143,5.0864,175300
4,1078,158,571,184,4.6667,223300
18,2355,444,1277,433,3.4551,121400
24,2741,577,1551,522,3.474,70500
23,6060,1165,2920,1072,3.1528,69000
29,5055,1036,410,191,3.5104,157100
22,4227,658,1849,619,4.7356,195900
26,503,69,293,59,3.7083,147500
7,10352,2007,3559,1689,2.2925,113100
12,7626,1704,2823,1554,2.1722,69400
18,9601,2401,4002,2106,1.4366,77000
13,16148,3474,6159,3232,1.9961,97800
13,1614,410,846,270,2.83,43000
17,5509,866,2748,817,4.8854,181300
32,5211,949,3025,948,4.0931,134200
20,6696,1326,3687,1291,3.1979,154600
25,4436,758,1997,738,4.2386,201000
18,10968,1521,4439,1501,6.2787,250000
34,3657,538,1513,562,5.2907,195800
33,2420,393,1003,397,4.0658,165100
26,3623,703,1609,669,3.744,165800
29,1114,163,385,154,5.4333,222800
35,2306,334,828,310,6.1103,301600
18,3341,611,1952,602,3.9844,215300
17,3101,547,1410,486,3.1771,189900
30,1856,339,1103,379,4.0357,153800
15,825,130,334,131,4.0391,169500
14,1771,301,1046,284,4.775,143300
13,1330,216,719,215,3.8295,149600
11,1112,164,441,174,4.7679,169500
21,3049,582,2355,585,3.8904,113800
15,3660,622,2629,612,4.0444,150100
15,4331,699,2046,627,3.9519,193500
29,2637,512,1188,446,2.99,69400
16,6862,1292,3562,1126,3.6091,87200
8,5330,1529,2143,1107,2.1103,94400
17,2073,313,573,221,8.2531,419200
18,11544,1979,6296,1923,4.4904,150400
24,1888,319,950,319,5.282,140800
33,1816,325,768,316,4.5662,150300
35,2114,317,881,320,5.5,241400
30,1802,401,776,386,2.8125,173500
31,2545,373,956,342,4.3977,226800
31,1989,280,805,301,6.5645,189100
17,2357,599,1423,510,1.8856,118800
10,3817,943,2352,875,2.1362,143200
22,2263,441,1395,416,3.725,123500
23,2785,468,1456,449,4.3714,131000
16,2238,307,1002,303,6.6143,264100
11,3098,490,1391,484,4.9792,170400
36,2181,555,1404,492,2.3077,55500
34,2194,519,1326,515,2.1056,72000
26,2599,498,1332,443,2.7198,70400
15,5592,891,2419,840,4.7193,135200
18,4775,886,1868,836,2.3355,118800
13,4595,567,1643,544,7.7684,362300
8,3372,430,1536,448,8.4284,378300
23,2592,414,1401,431,5.4903,151400
23,1951,395,901,378,3.1023,143300
17,15401,3280,7302,3176,3.3067,121900
26,4499,645,1866,626,5.516,185100
21,4203,618,1620,600,5.3441,193500
20,2705,545,1198,497,3.7159,168900
17,1558,479,803,431,2.6934,160200
17,1042,210,650,215,3.1,84200
33,4015,663,1864,664,4.3152,159300
31,3776,815,1886,799,3.4421,155300
20,2616,597,1532,579,2.9896,235600
43,841,192,496,207,3.0179,149300
34,3330,723,1592,656,2.6678,164200
34,3415,608,1464,593,4.0549,223700
22,3626,824,1800,769,2.8594,189600
34,2105,340,973,357,4.3088,152500
26,4038,706,2065,687,3.9545,178100
31,3473,722,2098,677,2.6973,135200
22,2526,530,1556,529,2.8646,120800
12,2914,734,2104,703,2.3068,132300
20,3506,692,1977,668,2.981,129100
7,2327,490,1304,445,3.3553,132200
25,2321,398,1434,386,3.5341,120800
17,2319,348,1125,337,5.551,266900
11,9992,1368,4495,1316,6.9664,293900
7,6483,976,3269,1005,5.7358,221600
19,619,239,490,164,2.1,14999
37,1199,351,782,296,1.6515,61600
29,3111,661,1530,608,2.8281,69300
19,4415,648,1627,619,4.2361,191600
5,1822,367,798,313,2.8783,105200
10,6317,1335,2625,1094,2.3,108900
20,1317,203,453,158,2.8393,120700
14,3700,750,1171,695,1.9476,112500
6,8278,1579,3062,1446,3.0043,134700
7,1972,352,964,317,3.244,337200
25,1909,334,1043,322,3.7784,160100
17,4013,673,2263,661,5.131,148300
27,1950,317,950,320,4.0656,164000
26,1998,301,874,305,5.4544,180900
14,3173,599,1451,585,3.7292,182200
29,1232,243,665,247,3.65,168900
27,2369,370,927,374,4.1162,177200
36,2211,384,868,329,4.0491,147900
33,3481,708,1726,719,3.3675,158200
31,2567,507,1198,499,3.4659,163000
40,2523,488,976,470,3.11,185700
15,1204,326,543,326,1.0278,154200
33,3296,537,1345,556,5.2835,217100
30,4205,772,2012,734,3.5,144700
12,3301,963,2000,879,1.8594,119200
22,5201,865,3280,817,4.7952,141400
36,2030,369,1142,357,3.7763,126900
30,3187,592,2082,631,3.5388,118500
22,2756,516,1849,486,4.1837,125400
14,3986,675,2065,702,5.7192,267400
20,1505,184,635,182,6.5772,245200
19,771,103,376,108,6.6272,273600
5,260,41,157,42,6.5151,281700
19,1902,335,1102,313,3.0365,98100
27,2718,583,1472,509,2.825,76600
7,2245,407,1016,364,3.9464,101500
16,3784,577,1615,525,4.2333,220300
26,3501,664,1860,681,3.0403,113500
6,78,11,27,10,3.125,187500
14,1088,209,601,193,3.8438,243800
17,5391,886,2732,830,5.1771,212800
25,3142,446,1286,419,5.4663,248300
16,3424,698,1940,645,4.121,182100
16,1765,289,743,280,4.9744,209700
19,3866,775,1554,703,4.3281,220000
31,2366,383,1077,387,4.2992,174400
26,3859,513,1469,538,5.8683,220500
17,5481,1618,2957,1537,2.5707,171300
34,1796,428,918,424,2.875,161200
19,4819,1492,2572,1336,2.3393,118200
24,7879,1655,3898,1534,3.0897,187300
37,821,150,404,135,3.0125,130400
35,1878,454,991,409,2.4345,129700
38,3174,606,1557,619,3.5861,123600
34,2061,391,1169,400,3.5096,142000
32,1750,333,997,335,3.4784,154400
38,886,176,505,188,3.5938,125400
37,2192,455,1515,446,3.0588,120600
34,2328,444,1684,429,3.25,99600
33,3126,627,2300,623,3.2596,103000
19,2304,572,2010,556,2.2866,109900
8,2460,397,1784,390,4.5662,175500
5,3201,532,2061,536,5.0829,179400
10,901,163,698,167,4.6648,156100
15,5094,818,2118,758,5.3505,266600
14,1111,142,472,145,7.6344,290500
14,2796,476,1466,464,5.2489,213700
13,2087,313,1165,330,5.7789,227700
22,1028,148,523,152,6.0086,166900
37,1884,366,1052,353,3.175,66800
30,3474,735,1674,691,2.5863,98300
29,3375,795,1760,699,2.7028,92000
24,4663,1213,1851,1116,1.4418,103500
25,3750,781,1594,785,2.4167,104900
21,4624,852,2174,812,3.5255,132100
15,13814,2888,6583,2789,2.8247,150000
16,4677,581,1902,566,6.1834,335600
16,2852,435,1083,448,6.3761,296200
28,922,107,314,97,8.4721,342300
6,9518,1418,4413,1275,6.6012,314900
16,1332,196,640,193,6.0226,192900
13,6711,1256,3683,1220,4.5746,175700
6,6525,826,3146,806,9.2858,436100
8,2205,348,777,341,6.0266,177400
12,2880,406,1381,418,6.5412,254200
25,2504,345,1067,350,5.7416,243400
11,1802,440,630,428,2.0337,146700
23,2491,350,863,348,6.7196,306800
21,1824,447,962,431,2.7826,143800
16,7963,1881,3769,1804,2.9624,144700
43,3171,665,1534,625,3.141,141400
37,2979,557,1285,564,3.7368,152200
36,2297,418,1070,392,3.5192,144000
5,2878,785,1727,758,1.7179,132000
33,3880,770,2288,805,3.6848,140700
24,5474,955,3020,904,4.0813,137000
28,5274,991,3727,961,3.57,109800
9,3417,860,2521,828,3.02,158900
13,2132,425,1345,432,4,89300
11,1875,357,1014,386,4.375,115000
14,3464,683,2139,734,4.0668,137500
22,3362,630,1471,612,4.1442,303900
8,8806,1401,3159,1059,4.2155,247800
5,2329,542,1213,514,4.0298,225600
26,2756,422,1166,398,5.1354,181600
26,2074,356,1228,335,4.1154,160200
27,1710,282,1089,297,4.6793,151900
20,8052,1461,5094,1430,4.2241,139800
18,4747,846,3002,872,3.9076,152900
20,2029,357,1497,353,4.0089,132100
14,2355,406,1883,401,5.0311,152100
15,2206,648,2511,648,1.6348,93200
7,938,297,1187,282,1.2667,67500
36,1199,260,665,229,3.7065,62000
23,3967,766,1518,698,2.29,111800
28,3009,698,1200,626,1.3993,104600
21,3098,646,1351,614,2.598,106700
27,5484,1205,2645,1131,2.1927,116700
5,3471,530,1541,502,4.8083,347700
17,1800,312,891,281,7.0177,267600
14,3103,569,1704,539,3.7644,264700
16,4552,1166,2737,1051,2.25,136300
22,2427,390,1099,362,5.2323,167500
20,7746,2035,5370,1838,2.3762,98500
17,2385,372,1118,369,4.2813,169900
18,4393,642,2095,677,5.4786,223500
6,7916,1293,2741,1204,5.6436,278600
12,1840,254,580,234,6.7769,400000
18,917,121,388,131,6.3517,260100
19,3558,588,1439,578,4.625,211100
17,3430,425,1468,433,10.6186,429300
17,9911,1436,4763,1414,5.5882,194300
18,3593,661,1992,626,4.8295,165800
17,4814,1091,3013,1078,3.2369,167800
17,3039,555,1297,552,3.9531,178600
16,4046,731,1684,701,4.2312,197000
17,1885,292,771,301,5.6402,228600
25,1905,250,865,253,6.4797,249000
23,3309,401,1116,386,7.916,330600
